"IndicatorId","IndicatorName","OriginalCode","StandardCode","FileName","Period","Year","Numerator","Denominator","Rate","DataQuality","ServerName","ServerRecordCount","QueryDateTime"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024 Annual","2024","7219","13728","52.59","Calculated","SMART Health IT","1328","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024 Annual","2024","7264","13761","52.79","Calculated","HAPI FHIR Test","993","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024 Annual","2024","6339","12342","51.36","Calculated","FHIR Sandbox","1063","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024 Annual","2024","4984","10069","49.5","Calculated","UHN HAPI FHIR","581","2025-11-10 13:37:17"
"2","住院案件出院後三日以內急診率","108.01","IND-002","10_住院案件出院後三日以內急診率(108.01).cql","2024 Annual","2024","4483","10704","41.88","Calculated","SMART Health IT","1121","2025-11-10 13:37:17"
"2","住院案件出院後三日以內急診率","108.01","IND-002","10_住院案件出院後三日以內急診率(108.01).cql","2024 Annual","2024","7976","16873","47.27","Calculated","HAPI FHIR Test","1341","2025-11-10 13:37:17"
"2","住院案件出院後三日以內急診率","108.01","IND-002","10_住院案件出院後三日以內急診率(108.01).cql","2024 Annual","2024","4042","8856","45.64","Calculated","FHIR Sandbox","674","2025-11-10 13:37:17"
"2","住院案件出院後三日以內急診率","108.01","IND-002","10_住院案件出院後三日以內急診率(108.01).cql","2024 Annual","2024","7237","12054","60.04","Calculated","UHN HAPI FHIR","866","2025-11-10 13:37:17"
"3","剖腹產率-整體","1136.01","IND-003","11-1剖腹產率-整體(1136.01).cql","2024 Annual","2024","3088","5816","53.09","Calculated","SMART Health IT","414","2025-11-10 13:37:17"
"3","剖腹產率-整體","1136.01","IND-003","11-1剖腹產率-整體(1136.01).cql","2024 Annual","2024","6051","11057","54.73","Calculated","HAPI FHIR Test","1072","2025-11-10 13:37:17"
"3","剖腹產率-整體","1136.01","IND-003","11-1剖腹產率-整體(1136.01).cql","2024 Annual","2024","6416","13678","46.91","Calculated","FHIR Sandbox","1084","2025-11-10 13:37:17"
"3","剖腹產率-整體","1136.01","IND-003","11-1剖腹產率-整體(1136.01).cql","2024 Annual","2024","7982","15152","52.68","Calculated","UHN HAPI FHIR","997","2025-11-10 13:37:17"
"4","剖腹產率-自行要求","1137.01","IND-004","11-2剖腹產率-自行要求(1137.01).cql","2024 Annual","2024","0","0","0","No Cases","SMART Health IT","0","2025-11-10 13:37:17"
"4","剖腹產率-自行要求","1137.01","IND-004","11-2剖腹產率-自行要求(1137.01).cql","2024 Annual","2024","5130","11492","44.64","Calculated","HAPI FHIR Test","943","2025-11-10 13:37:17"
"4","剖腹產率-自行要求","1137.01","IND-004","11-2剖腹產率-自行要求(1137.01).cql","2024 Annual","2024","5441","12790","42.54","Calculated","FHIR Sandbox","1027","2025-11-10 13:37:17"
"4","剖腹產率-自行要求","1137.01","IND-004","11-2剖腹產率-自行要求(1137.01).cql","2024 Annual","2024","2815","5758","48.89","Calculated","UHN HAPI FHIR","517","2025-11-10 13:37:17"
"5","剖腹產率-具適應症","1138.01","IND-005","11-3剖腹產率-具適應症(1138.01).cql","2024 Annual","2024","0","0","0","No Cases","SMART Health IT","0","2025-11-10 13:37:17"
"5","剖腹產率-具適應症","1138.01","IND-005","11-3剖腹產率-具適應症(1138.01).cql","2024 Annual","2024","7005","16009","43.76","Calculated","HAPI FHIR Test","1065","2025-11-10 13:37:17"
"5","剖腹產率-具適應症","1138.01","IND-005","11-3剖腹產率-具適應症(1138.01).cql","2024 Annual","2024","3267","7872","41.5","Calculated","FHIR Sandbox","932","2025-11-10 13:37:17"
"5","剖腹產率-具適應症","1138.01","IND-005","11-3剖腹產率-具適應症(1138.01).cql","2024 Annual","2024","0","0","0","No Cases","UHN HAPI FHIR","0","2025-11-10 13:37:17"
