IndicatorId,IndicatorName,IndicatorCode,FileName,Quarter,Numerator,Denominator,Rate,DataQuality,ServerName,ServerRecordCount,QueryDateTime
1,門診注射劑使用率,3127,1_門診注射劑使用率(3127).cql,2024Q1,1575,11493,58,Good,SMART Health IT,0,2025/11/10 10:15
1,門診注射劑使用率,3127,1_門診注射劑使用率(3127).cql,2024Q1,1575,11493,58,Good,HAPI FHIR Test,60,2025/11/10 10:15
1,門診注射劑使用率,3127,1_門診注射劑使用率(3127).cql,2024Q1,1575,11493,58,Good,FHIR Sandbox,40,2025/11/10 10:15
1,門診注射劑使用率,3127,1_門診注射劑使用率(3127).cql,2024Q1,1575,11493,58,Good,UHN HAPI FHIR,53,2025/11/10 10:15
1,門診注射劑使用率,3127,1_門診注射劑使用率(3127).cql,2024Q2,4536,45831,41,Good,SMART Health IT,0,2025/11/10 10:15
1,門診注射劑使用率,3127,1_門診注射劑使用率(3127).cql,2024Q2,4536,45831,41,Good,HAPI FHIR Test,8,2025/11/10 10:15
1,門診注射劑使用率,3127,1_門診注射劑使用率(3127).cql,2024Q2,4536,45831,41,Good,FHIR Sandbox,92,2025/11/10 10:15
1,門診注射劑使用率,3127,1_門診注射劑使用率(3127).cql,2024Q2,4536,45831,41,Good,UHN HAPI FHIR,0,2025/11/10 10:15
1,門診注射劑使用率,3127,1_門診注射劑使用率(3127).cql,2024Q3,3471,37957,52,Good,SMART Health IT,0,2025/11/10 10:15
1,門診注射劑使用率,3127,1_門診注射劑使用率(3127).cql,2024Q3,3471,37957,52,Good,HAPI FHIR Test,57,2025/11/10 10:15
1,門診注射劑使用率,3127,1_門診注射劑使用率(3127).cql,2024Q3,3471,37957,52,Good,FHIR Sandbox,0,2025/11/10 10:15
1,門診注射劑使用率,3127,1_門診注射劑使用率(3127).cql,2024Q3,3471,37957,52,Good,UHN HAPI FHIR,38,2025/11/10 10:15
1,門診注射劑使用率,3127,1_門診注射劑使用率(3127).cql,2024Q4,2402,58510,55,Good,SMART Health IT,19,2025/11/10 10:15
1,門診注射劑使用率,3127,1_門診注射劑使用率(3127).cql,2024Q4,2402,58510,55,Good,HAPI FHIR Test,5,2025/11/10 10:15
1,門診注射劑使用率,3127,1_門診注射劑使用率(3127).cql,2024Q4,2402,58510,55,Good,FHIR Sandbox,57,2025/11/10 10:15
1,門診注射劑使用率,3127,1_門診注射劑使用率(3127).cql,2024Q4,2402,58510,55,Good,UHN HAPI FHIR,0,2025/11/10 10:15
1,門診注射劑使用率,3127,1_門診注射劑使用率(3127).cql,2025Q1,3135,55377,37,Good,SMART Health IT,50,2025/11/10 10:15
1,門診注射劑使用率,3127,1_門診注射劑使用率(3127).cql,2025Q1,3135,55377,37,Good,HAPI FHIR Test,38,2025/11/10 10:15
1,門診注射劑使用率,3127,1_門診注射劑使用率(3127).cql,2025Q1,3135,55377,37,Good,FHIR Sandbox,4,2025/11/10 10:15
1,門診注射劑使用率,3127,1_門診注射劑使用率(3127).cql,2025Q1,3135,55377,37,Good,UHN HAPI FHIR,94,2025/11/10 10:15
