"IndicatorId","IndicatorName","OriginalCode","StandardCode","FileName","Period","Year","Numerator","Denominator","Rate","DataQuality","ServerName","ServerRecordCount","QueryDateTime"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024 Annual","2024","11984","153791","7.79","Calculated","SMART Health IT","1128","2025-11-10 13:28:05"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024 Annual","2024","10409","142298","7.31","Calculated","HAPI FHIR Test","1086","2025-11-10 13:28:05"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024 Annual","2024","6938","104341","6.65","Calculated","FHIR Sandbox","729","2025-11-10 13:28:05"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024 Annual","2024","9582","95281","10.06","Calculated","UHN HAPI FHIR","405","2025-11-10 13:28:05"
"2","住院案件出院後三日以內急診率","108.01","IND-002","10_住院案件出院後三日以內急診率(108.01).cql","2024 Annual","2024","10922","55352","19.73","Calculated","SMART Health IT","792","2025-11-10 13:28:05"
"2","住院案件出院後三日以內急診率","108.01","IND-002","10_住院案件出院後三日以內急診率(108.01).cql","2024 Annual","2024","10922","55352","19.73","Calculated","HAPI FHIR Test","390","2025-11-10 13:28:05"
"2","住院案件出院後三日以內急診率","108.01","IND-002","10_住院案件出院後三日以內急診率(108.01).cql","2024 Annual","2024","8359","62957","13.28","Calculated","FHIR Sandbox","458","2025-11-10 13:28:05"
"2","住院案件出院後三日以內急診率","108.01","IND-002","10_住院案件出院後三日以內急診率(108.01).cql","2024 Annual","2024","9628","56624","17","Calculated","UHN HAPI FHIR","488","2025-11-10 13:28:05"
"3","剖腹產率-整體","1136.01","IND-003","11-1剖腹產率-整體(1136.01).cql","2024 Annual","2024","0","0","0","No Cases","SMART Health IT","0","2025-11-10 13:28:05"
"3","剖腹產率-整體","1136.01","IND-003","11-1剖腹產率-整體(1136.01).cql","2024 Annual","2024","15656","175629","8.91","Calculated","HAPI FHIR Test","1428","2025-11-10 13:28:05"
"3","剖腹產率-整體","1136.01","IND-003","11-1剖腹產率-整體(1136.01).cql","2024 Annual","2024","13351","126125","10.59","Calculated","FHIR Sandbox","877","2025-11-10 13:28:05"
"3","剖腹產率-整體","1136.01","IND-003","11-1剖腹產率-整體(1136.01).cql","2024 Annual","2024","9968","105909","9.41","Calculated","UHN HAPI FHIR","655","2025-11-10 13:28:05"
"4","剖腹產率-自行要求","1137.01","IND-004","11-2剖腹產率-自行要求(1137.01).cql","2024 Annual","2024","14342","165213","8.68","Calculated","SMART Health IT","1141","2025-11-10 13:28:05"
"4","剖腹產率-自行要求","1137.01","IND-004","11-2剖腹產率-自行要求(1137.01).cql","2024 Annual","2024","14342","165213","8.68","Calculated","HAPI FHIR Test","789","2025-11-10 13:28:05"
"4","剖腹產率-自行要求","1137.01","IND-004","11-2剖腹產率-自行要求(1137.01).cql","2024 Annual","2024","10027","135605","7.39","Calculated","FHIR Sandbox","916","2025-11-10 13:28:05"
"4","剖腹產率-自行要求","1137.01","IND-004","11-2剖腹產率-自行要求(1137.01).cql","2024 Annual","2024","10983","125713","8.74","Calculated","UHN HAPI FHIR","819","2025-11-10 13:28:05"
"5","剖腹產率-具適應症","1138.01","IND-005","11-3剖腹產率-具適應症(1138.01).cql","2024 Annual","2024","0","0","0","No Cases","SMART Health IT","0","2025-11-10 13:28:05"
"5","剖腹產率-具適應症","1138.01","IND-005","11-3剖腹產率-具適應症(1138.01).cql","2024 Annual","2024","15249","93482","16.31","Calculated","HAPI FHIR Test","1070","2025-11-10 13:28:05"
"5","剖腹產率-具適應症","1138.01","IND-005","11-3剖腹產率-具適應症(1138.01).cql","2024 Annual","2024","8494","48815","17.4","Calculated","FHIR Sandbox","232","2025-11-10 13:28:05"
"5","剖腹產率-具適應症","1138.01","IND-005","11-3剖腹產率-具適應症(1138.01).cql","2024 Annual","2024","15249","93482","16.31","Calculated","UHN HAPI FHIR","915","2025-11-10 13:28:05"
"6","剖腹產率-初次具適應症","1075.01","IND-006","11-4剖腹產率-初次具適應症(1075.01).cql","2024 Annual","2024","8604","89576","9.61","Calculated","SMART Health IT","652","2025-11-10 13:28:05"
"6","剖腹產率-初次具適應症","1075.01","IND-006","11-4剖腹產率-初次具適應症(1075.01).cql","2024 Annual","2024","0","0","0","No Cases","HAPI FHIR Test","0","2025-11-10 13:28:05"
"6","剖腹產率-初次具適應症","1075.01","IND-006","11-4剖腹產率-初次具適應症(1075.01).cql","2024 Annual","2024","0","0","0","No Cases","FHIR Sandbox","0","2025-11-10 13:28:05"
"6","剖腹產率-初次具適應症","1075.01","IND-006","11-4剖腹產率-初次具適應症(1075.01).cql","2024 Annual","2024","4286","66937","6.4","Calculated","UHN HAPI FHIR","807","2025-11-10 13:28:05"
"7","清淨手術術後使用抗生素超過三日比率","1155","IND-007","12_清淨手術術後使用抗生素超過三日比率(1155).cql","2024 Annual","2024","11057","105961","10.43","Calculated","SMART Health IT","972","2025-11-10 13:28:05"
"7","清淨手術術後使用抗生素超過三日比率","1155","IND-007","12_清淨手術術後使用抗生素超過三日比率(1155).cql","2024 Annual","2024","0","0","0","No Cases","HAPI FHIR Test","0","2025-11-10 13:28:05"
"7","清淨手術術後使用抗生素超過三日比率","1155","IND-007","12_清淨手術術後使用抗生素超過三日比率(1155).cql","2024 Annual","2024","0","0","0","No Cases","FHIR Sandbox","0","2025-11-10 13:28:05"
"7","清淨手術術後使用抗生素超過三日比率","1155","IND-007","12_清淨手術術後使用抗生素超過三日比率(1155).cql","2024 Annual","2024","7035","83516","8.42","Calculated","UHN HAPI FHIR","324","2025-11-10 13:28:05"
"8","接受體外震波碎石術(ESWL)病人平均利用ESWL之次數","ESWL","IND-008","13_接受體外震波碎石術(ESWL)病人平均利用ESWL之次數(20.01季 1804年).cql","2024 Annual","2024","13386","128954","10.38","Calculated","SMART Health IT","640","2025-11-10 13:28:05"
"8","接受體外震波碎石術(ESWL)病人平均利用ESWL之次數","ESWL","IND-008","13_接受體外震波碎石術(ESWL)病人平均利用ESWL之次數(20.01季 1804年).cql","2024 Annual","2024","6770","54958","12.32","Calculated","HAPI FHIR Test","956","2025-11-10 13:28:05"
"8","接受體外震波碎石術(ESWL)病人平均利用ESWL之次數","ESWL","IND-008","13_接受體外震波碎石術(ESWL)病人平均利用ESWL之次數(20.01季 1804年).cql","2024 Annual","2024","0","0","0","No Cases","FHIR Sandbox","0","2025-11-10 13:28:05"
"8","接受體外震波碎石術(ESWL)病人平均利用ESWL之次數","ESWL","IND-008","13_接受體外震波碎石術(ESWL)病人平均利用ESWL之次數(20.01季 1804年).cql","2024 Annual","2024","8572","91631","9.35","Calculated","UHN HAPI FHIR","802","2025-11-10 13:28:05"
"9","子宮肌瘤手術出院後十四日以內因該手術相關診斷再住院率","473.01","IND-009","14_子宮肌瘤手術出院後十四日以內因該手術相關診斷再住院率(473.01).cql","2024 Annual","2024","11985","140756","8.51","Calculated","SMART Health IT","642","2025-11-10 13:28:05"
"9","子宮肌瘤手術出院後十四日以內因該手術相關診斷再住院率","473.01","IND-009","14_子宮肌瘤手術出院後十四日以內因該手術相關診斷再住院率(473.01).cql","2024 Annual","2024","6284","112588","5.58","Calculated","HAPI FHIR Test","828","2025-11-10 13:28:05"
"9","子宮肌瘤手術出院後十四日以內因該手術相關診斷再住院率","473.01","IND-009","14_子宮肌瘤手術出院後十四日以內因該手術相關診斷再住院率(473.01).cql","2024 Annual","2024","10234","81653","12.53","Calculated","FHIR Sandbox","821","2025-11-10 13:28:05"
"9","子宮肌瘤手術出院後十四日以內因該手術相關診斷再住院率","473.01","IND-009","14_子宮肌瘤手術出院後十四日以內因該手術相關診斷再住院率(473.01).cql","2024 Annual","2024","0","0","0","No Cases","UHN HAPI FHIR","0","2025-11-10 13:28:05"
"10","_人工膝關節置換手術後九十日以內置換物深部感染率","353.01","IND-010","15-1_人工膝關節置換手術後九十日以內置換物深部感染率(353.01).cql","2024 Annual","2024","15662","73064","21.44","Calculated","SMART Health IT","1034","2025-11-10 13:28:05"
"10","_人工膝關節置換手術後九十日以內置換物深部感染率","353.01","IND-010","15-1_人工膝關節置換手術後九十日以內置換物深部感染率(353.01).cql","2024 Annual","2024","15662","73064","21.44","Calculated","HAPI FHIR Test","916","2025-11-10 13:28:05"
"10","_人工膝關節置換手術後九十日以內置換物深部感染率","353.01","IND-010","15-1_人工膝關節置換手術後九十日以內置換物深部感染率(353.01).cql","2024 Annual","2024","17371","99447","17.47","Calculated","FHIR Sandbox","710","2025-11-10 13:28:05"
"10","_人工膝關節置換手術後九十日以內置換物深部感染率","353.01","IND-010","15-1_人工膝關節置換手術後九十日以內置換物深部感染率(353.01).cql","2024 Annual","2024","17371","99447","17.47","Calculated","UHN HAPI FHIR","1312","2025-11-10 13:28:05"
"11","全人工膝關節置換手術後九十日以內置換物深部感染率","3249","IND-011","15-2全人工膝關節置換手術後九十日以內置換物深部感染率(3249).cql","2024 Annual","2024","8207","130800","6.27","Calculated","SMART Health IT","875","2025-11-10 13:28:05"
"11","全人工膝關節置換手術後九十日以內置換物深部感染率","3249","IND-011","15-2全人工膝關節置換手術後九十日以內置換物深部感染率(3249).cql","2024 Annual","2024","5387","112308","4.8","Calculated","HAPI FHIR Test","1095","2025-11-10 13:28:05"
"11","全人工膝關節置換手術後九十日以內置換物深部感染率","3249","IND-011","15-2全人工膝關節置換手術後九十日以內置換物深部感染率(3249).cql","2024 Annual","2024","9347","166140","5.63","Calculated","FHIR Sandbox","1041","2025-11-10 13:28:05"
