"IndicatorId","IndicatorName","OriginalCode","StandardCode","FileName","Quarter","Year","Numerator","Denominator","Rate","DataQuality","ServerName","ServerRecordCount","QueryDateTime"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q1","2024","0","0","0","No Cases","SMART Health IT","0","2025-11-10 13:05:50"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q1","2024","1575","11493","58","Good","HAPI FHIR Test","143","2025-11-10 13:05:50"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q1","2024","1575","11493","58","Good","FHIR Sandbox","462","2025-11-10 13:05:50"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q1","2024","0","0","0","No Cases","UHN HAPI FHIR","0","2025-11-10 13:05:50"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q2","2024","0","0","0","No Cases","SMART Health IT","0","2025-11-10 13:05:50"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q2","2024","0","0","0","No Cases","HAPI FHIR Test","0","2025-11-10 13:05:50"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q2","2024","4536","45831","41","Good","FHIR Sandbox","80","2025-11-10 13:05:50"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q2","2024","4536","45831","41","Good","UHN HAPI FHIR","291","2025-11-10 13:05:50"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q3","2024","3471","37957","52","Good","SMART Health IT","400","2025-11-10 13:05:50"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q3","2024","3471","37957","52","Good","HAPI FHIR Test","280","2025-11-10 13:05:50"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q3","2024","3471","37957","52","Good","FHIR Sandbox","333","2025-11-10 13:05:50"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q3","2024","3471","37957","52","Good","UHN HAPI FHIR","265","2025-11-10 13:05:50"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q4","2024","2402","58510","55","Good","SMART Health IT","488","2025-11-10 13:05:50"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q4","2024","2402","58510","55","Good","HAPI FHIR Test","261","2025-11-10 13:05:50"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q4","2024","0","0","0","No Cases","FHIR Sandbox","0","2025-11-10 13:05:50"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q4","2024","2402","58510","55","Good","UHN HAPI FHIR","271","2025-11-10 13:05:50"
